,Title,Description,Cast&Crew,Duration,Minimum price,Rating
0,Beetlejuice,"Directed by Alex Timbers (Moulin Rouge!), Beetlejuice tells the story of Lydia Deetz, a strange and unusual teenager whose whole life changes when she meets a recently deceased couple and a demon with a thing for stripes. And under its uproarious surface (six feet under, to be exact), it’s a remarkably touching show about family, love, and making the most of every Day-O!","Eddie Perfect, Alex Timbers",150,69,83
1,Chicago,"Set in the legendary city during the roaring “jazz hot” 20s, Chicago tells the story of two rival vaudevillian murderesses locked up in Cook County Jail. Nightclub star Velma’s serving time for killing her husband and sister after finding the two in bed together. Driven chorus girl Roxie’s been tossed in the joint for bumping off the lover she’s been cheating on her husband with. Not one to rest on her laurels, Velma enlists the help of prison matron Mama Morton and slickster lawyer Billy Flynn, who turn Velma’s incarceration into a murder-of-the-week media frenzy, thus preparing the world for a splashy showbiz comeback. But Roxie’s got some of her own tricks up her sleeve…","Charlotte d’Amboise, Bianca Marroquin, James Monroe Iglehart, Raymond Bokhour, Jennifer Fouche, Ryan Lowe",150,49,83
2,Company,"The quintessential musical comedy about the search for love and cocktails in the Big Apple is turned on its head in Marianne Elliott’s revelatory staging, in which musical theater’s most iconic bachelor becomes a bachelorette. At Bobbie’s 35th birthday party, all her friends are wondering why isn’t she married? Why can’t she find the right man? And, why can’t she settle down and have a family? This whip smart musical, given a game-changing makeover for a modern-day Manhattan, features some of Sondheim’s best loved songs, including “Company,” “You Could Drive a Person Crazy,” “The Ladies Who Lunch,” “Side by Side,” and the iconic “Being Alive.”","Katrina Lenk, Patti LuPone, Matt Doyle, Etai Benson, Jennifer Simard, Christopher Fitzgerald, Christopher Sieber",165,39,86
3,Hamilton,"Hamilton is the story of the unlikely Founding Father determined to make his mark on the new nation as hungry and ambitious as he is. From bastard orphan to Washington’s right-hand man, rebel to war hero, a loving husband caught in the country’s first sex scandal, to the Treasury head who made an untrusting world believe in the American economy. George Washington, Eliza Hamilton, Thomas Jefferson and Hamilton’s lifelong friend/foil Aaron Burr all make their mark in this astonishing new musical exploration of a political mastermind.","Miguel Cervantes, Jin Ha, Mandy Gonzalez, Euan Morton, Krystal Joy Brown, Tamar Greene, Kyle Scatliffe, Fergie L. Philippe, Aubin Wise, Daniel Yearwood",175,199,97
4,Harry Potter and the Cursed Child,"19 years after Harry, Ron, and Hermione saved the wizarding world, they’re back on a most extraordinary new adventure – this time, joined by a brave new generation that has only just arrived at the legendary Hogwarts School of Witchcraft and Wizardry. Prepare for spectacular spells, a mind-blowing race through time, and an epic battle to stop mysterious forces, all while the future hangs in the balance.","Steve Haggard, David Abeles, Jenny Jules, Diane Davis, Brady Dalton Richards, James Romney, Nadia Brown, Aaron Bartz",210,59,90
5,Hadestown,"Welcome to Hadestown, where a song can change your fate. This acclaimed new musical by celebrated singer-songwriter Anaïs Mitchell and innovative director Rachel Chavkin (Natasha, Pierre & The Great Comet of 1812) is a love story for today… and always. Hadestown intertwines two mythic tales—that of young dreamers Orpheus and Eurydice, and that of King Hades and his wife Persephone—as it invites you on a hell-raising journey to the underworld and back. Mitchell’s beguiling melodies and Chavkin’s poetic imagination pit industry against nature, doubt against faith, and fear against love. Performed by a vibrant ensemble of actors, dancers and singers, Hadestown is a haunting and hopeful theatrical experience that grabs you and never lets go.","Patrick Page, Eva Noblezada, André De Shields, Amber Gray, Reeve Carney",150,49,91
6,The Music Man,"Hugh Jackman will not appear as Harold Hill August 15–21, 2022; September 5–11, 2022 and October 10–16, 2022.Two-time Tony Award®, Grammy Award®, and Emmy Award® winner Hugh Jackman will make his highly anticipated return to Broadway in what is widely agreed to be the greatest role ever created for an actor in the history of musical theater: Professor Harold Hill in Meredith Willson’s beloved classic, The Music Man.","Hugh Jackman, Sutton Foster, Jefferson Mays, Jayne Houdyshell, Shuler Hensley, Marie Mullen, Remy Auberjonois, Gino Cosculluela",170,99,89
7,Moulin Rouge,"Enter a world of splendor and romance, of eye-popping excess, of glitz, grandeur and glory! A world where Bohemians and aristocrats rub elbows and revel in electrifying enchantment. Pop the champagne and prepare for the spectacular spectacular... Welcome to Moulin Rouge! The Musical. Baz Luhrmann’s revolutionary film comes to life onstage, remixed in a new musical mash-up extravaganza. A theatrical celebration of truth, beauty, freedom and—above all—LOVE, Moulin Rouge! is more than a musical; it is a state of mind. How wonderful life is...at the Moulin Rouge.","Aaron Tveit, Natalie Mendoza, Eric Anderson, Sahr Ngaujah, Tam Mutu, Ricky Rojas, Robyn Hurder",165,69,84
8,The Phantom of the Opera,"The longest-running show in Broadway history, Andrew Lloyd Webber’s The Phantom of the Opera debuted in 1988, winning seven Tony Awards® including Best Musical. Based on Gaston Leroux’s horror novel, it tells the enticing story of the Phantom, who haunts the stage of the Paris Opera and subsequently falls in love with a beautiful young soprano. Audiences are in for a thrilling night at the theater to see this timeless tale, accompanied by an unforgettable musical score.","Ben Crawford, Emilie Kouatchou, John Riddle, Sara Esty, Maree Johnson, Raquel Suarez Groen, Bradley Dean, Craig Bennett, Carlton Moe",150,29,87
9,Six,"From Tudor Queens to Pop Princesses, the Six wives of Henry VIII take the mic to remix five hundred years of historical heartbreak into an exuberant celebration of 21st century girl power! This new original musical is the global sensation that everyone is losing their head over. The New York Times says Six is “pure entertainment!” and Evening Standard hails Six as “the most uplifting new British musical I have ever had the privilege to watch.”","Adrianna Hicks, Andrea Macasaet, Abby Mueller, Brittney Mack, Samantha Pauly, Anna Uzele",80,69,85
10,Wicked,"Wicked, the Broadway sensation, looks at what happened in the Land of Oz…but from a different angle. Long before Dorothy arrives, there is another girl, born with emerald-green skin—smart, fiery, misunderstood, and possessing an extraordinary talent. When she meets a bubbly blonde who is exceptionally popular, their initial rivalry turns into the unlikeliest of friendships…until the world decides to call one “good,” and the other one “wicked.”","Lindsay Pearce, Ginna Claire Mason, Sam Gravitte, Judy Kaye, Mili Diaz, Jordan Barrow, Michael McCormick, Michael X. Martin",165,75,93
11,A Class Act,"Words and music--Edward Kleban loved them. All he ever wanted to do was write the songs for a Broadway show. When he wrote the lyrics for the phenomenally successful A Chorus Line, his dream came true. Or did it? Set during the hey-day of the American musical theater, A Class Act explores the soul of an eccentric genius whose songs tell the story of his own crazy, passionate life. A Class Act is an intimate look backstage at the process of creating musicals and the lives of the people who create them.","Ed Kleban, Lonny Price, Linda Kline, Robert W Schneider",135,0,80
12,Aladdin,"In the middle-eastern town of Agrabah, Princess Jasmine is feeling hemmed in by her father’s desire to find her a royal groom. Meanwhile, the Sultan’s right-hand man, Jafar, is plotting to take over the throne. When Jasmine sneaks out of the palace incognito, she forms an instant connection with Aladdin, a charming street urchin and reformed thief. After being discovered together, Aladdin is sentenced to death, but Jafar saves him by ordering him to fetch a lamp from the Cave of Wonders. Where there’s a lamp, there’s a Genie, and once Aladdin unwittingly lets this one out, anything can happen! Will Aladdin’s new identity as “Prince Ali” help him win Jasmine’s heart and thwart Jafar’s evil plans? Will the Genie’s wish for freedom ever come true?","Michael Maliakel, Shoba Narayan, Michael James Scott, Dennis Stowe, Don Darryl Rivera, Mike Longo, Brian Gonzales, JC Montgomery, Brad Weinstock",150,57,86
13,Intimate Apparel,"Set in turn of the century New York, Intimate Apparel tells the story of Esther, a lonely, single African-American woman who makes her living sewing beautiful corsets and ladies’ undergarments. Seeking love and romance, Esther embarks on a letter writing relationship with a mysterious suitor laboring on the Panama Canal, and realizes that only her self-reliance and certainty of her own worth will see her through life’s challenges.","Kearstin Piper Brown, Chabrelle Williams, Adrienne Danrich, Justin Austin, Naomi Louisa O’Connell, Arnold Livingston Geis, Krysty Swann",150,92,79
14,Beauty and the Beast the Musical,"Certain stories carry on from generation to generation and earn the designation ""timeless"" for good reason. Beauty and the Beast is one such story. Disney’s Beauty and the Beast has been charming Broadway audiences for more than 10 years, and every year a whole new generation discovers the magic behind the castle walls. Brilliantly adapted from the Academy Award-winning animated film, this much-loved spectacle has thrilled more than 20 million people worldwide with show-stopping musical numbers, astonishing sets, lavish costumes and never-before-seen magic and special effects. In Beauty and the Beast, Belle, a young woman in a small, provincial town, meets the Beast, in reality a young prince whose lack of compassion has trapped him in a spell placed by an enchantress. If the Beast can learn to love and to be loved, the spell will be broken and he will be transformed back to his former self. But time is running out, and if the Beast does not learn his lesson, he will be doomed for all eternity. Be our guest for a storybook theatrical experience your whole family will love!","Brenda Bell, Michael Sgouros",70,21,0
15,La Boheme,"Puccini’s timeless masterpiece of love and loss features two casts of young stars. Sopranos Nicole Car (in her highly anticipated Met debut) and Ailyn Pérez share the role of the ill-fated Mimì, opposite tenors Vittorio Grigolo and Michael Fabiano as the ardent poet Rodolfo. After a celebrated Met debut as Mimì in 2017, Angel Blue returns as the spitfire Musetta, and Etienne Dupuis (in his Met debut) and Lucas Meachem share the role of Marcello. James Gaffigan conducts.","Giacomo Puccini, Luigi Illica, Giuseppe Giacosa, Franco Zeffirelli",185,33,85
16,The Book of Mormon,"The Book of Mormon follows two young missionaries who are sent to Uganda to try to convert citizens to the Mormon religion. One missionary, Elder Price, is an enthusiastic go-getter with a strong dedication to his faith, while his partner, Elder Cunningham, is a socially awkward but well meaning nerd whose tendency to embroider the truth soon lands him in trouble. Upon their arrival in Africa, Elders Price and Cunningham learn that in a society plagued by AIDS, poverty and violence, a successful mission may not be as easy as they expected.","Kevin Clay, Cody Jamison Strand, Kim Exum, Stephen Ashfield, Sterling Jarvis",150,49,90
17,Come From Away,"Come From Away is based on the true story of when the isolated community of Gander, Newfoundland played host to the world. What started as an average day in a small town turned in to an international sleep-over when 38 planes, carrying thousands of people from across the globe, were diverted to Gander’s air strip on September 11, 2001. Undaunted by culture clashes and language barriers, the people of Gander cheered the stranded travelers with music, an open bar and the recognition that we’re all part of a global family.","Petrina Bromley, Joel Hatch, De’Lon Grant, Rachel Tucker, James Seol, Caesar Samayoa, Jim Walton, Q. Smith, Astrid Van Wieren, Sharon Wheatley, Paul Whitty",100,49,92
18,Dear Evan Hansen,"A letter that was never meant to be seen, a lie that was never meant to be told, a life he never dreamed he could have. Evan Hansen is about to get the one thing he’s always wanted: A chance to finally fit in. Both deeply personal and profoundly contemporary, Dear Evan Hansen is the new American musical about life and the way we live it.","Jordan Fisher, Ivan Hernandez, Gabrielle Carrubbam, Christiane Noll, David Jeffery, Jessica Phillips, Jared Goldsmith, Phoebe Koyabe, Zachary Noah Piser",140,79,92
19,Don Carlos,"Dynamic maestro Yannick Nézet-Séguin conducts Verdi’s ambitious score with a stand-out cast in Nicholas Hytner’s handsome production. Yonghoon Lee sings the title role, with Barbara Frittoli, Ekaterina Gubanova, Simon Keenlyside, James Morris, and Ferruccio Furlanetto, reprising his definitive portrayal of King Philip.","Giuseppe Verdi, Nicholas Hytner, Bob Crowley, Mark Henderson",295,33,0
20,The Mystery Of Edwin Drood,"What Is the Story of The Mystery of Edwin Drood? Based on Charles Dickens’ unfinished final novel, The Mystery of Edwin Drood tells the story of young Edwin Drood, an Englishman whose sudden disappearance throws the fictional townspeople of Cloisterham into a panic. Suspicions arise about who is responsible for Drood’s vanishing, with fingers pointing every which way, including the dashing but villainous John Jasper, Drood’s fiancee Rosa Bud, opium den proprietor Princess Puffer and mysterious siblings Helena and Neville Landless. As the investigation pushes forward, everyone who came into contact with Drood joins the lineup of the suspects.","Chita Rivera, Stephanie J. Block, Will Chase, Gregg Edelman, Erin Davie, Jessie Mueller, Jim Norton, Andrew Samonsky",120,25,0
